Driver,GridPosition,TeamName,Year,Race
BOT,9.0,Mercedes,2021,Pre-Season Test
SAI,5.0,Ferrari,2021,Pre-Season Test
NOR,7.0,McLaren,2021,Pre-Season Test
TSU,10.0,AlphaTauri,2021,Pre-Season Test
VET,18.0,Aston Martin,2021,Pre-Season Test
GIO,12.0,Alfa Romeo Racing,2021,Pre-Season Test
STR,13.0,Aston Martin,2021,Pre-Season Test
RAI,15.0,Alfa Romeo Racing,2021,Pre-Season Test
RUS,20.0,Williams,2021,Pre-Season Test
LAT,14.0,Williams,2021,Pre-Season Test
MSC,16.0,Haas F1 Team,2021,Pre-Season Test
MAZ,17.0,Haas F1 Team,2021,Pre-Season Test
ALO,19.0,Alpine,2021,Pre-Season Test
OCO,11.0,Alpine,2021,Pre-Season Test
GAS,8.0,AlphaTauri,2021,Pre-Season Test
HAM,2.0,Mercedes,2021,Bahrain Grand Prix
VER,1.0,Red Bull Racing,2021,Bahrain Grand Prix
BOT,3.0,Mercedes,2021,Bahrain Grand Prix
NOR,7.0,McLaren,2021,Bahrain Grand Prix
PER,0.0,Red Bull Racing,2021,Bahrain Grand Prix
LEC,4.0,Ferrari,2021,Bahrain Grand Prix
RIC,6.0,McLaren,2021,Bahrain Grand Prix
SAI,8.0,Ferrari,2021,Bahrain Grand Prix
TSU,13.0,AlphaTauri,2021,Bahrain Grand Prix
STR,10.0,Aston Martin,2021,Bahrain Grand Prix
RAI,14.0,Alfa Romeo Racing,2021,Bahrain Grand Prix
GIO,12.0,Alfa Romeo Racing,2021,Bahrain Grand Prix
OCO,16.0,Alpine,2021,Bahrain Grand Prix
RUS,15.0,Williams,2021,Bahrain Grand Prix
VET,20.0,Aston Martin,2021,Bahrain Grand Prix
MSC,18.0,Haas F1 Team,2021,Bahrain Grand Prix
GAS,5.0,AlphaTauri,2021,Bahrain Grand Prix
LAT,17.0,Williams,2021,Bahrain Grand Prix
ALO,9.0,Alpine,2021,Bahrain Grand Prix
MAZ,19.0,Haas F1 Team,2021,Bahrain Grand Prix
VER,3.0,Red Bull Racing,2021,Emilia Romagna Grand Prix
HAM,1.0,Mercedes,2021,Emilia Romagna Grand Prix
NOR,7.0,McLaren,2021,Emilia Romagna Grand Prix
LEC,4.0,Ferrari,2021,Emilia Romagna Grand Prix
SAI,11.0,Ferrari,2021,Emilia Romagna Grand Prix
RIC,6.0,McLaren,2021,Emilia Romagna Grand Prix
GAS,5.0,AlphaTauri,2021,Emilia Romagna Grand Prix
STR,10.0,Aston Martin,2021,Emilia Romagna Grand Prix
OCO,9.0,Alpine,2021,Emilia Romagna Grand Prix
ALO,15.0,Alpine,2021,Emilia Romagna Grand Prix
PER,2.0,Red Bull Racing,2021,Emilia Romagna Grand Prix
TSU,20.0,AlphaTauri,2021,Emilia Romagna Grand Prix
RAI,16.0,Alfa Romeo Racing,2021,Emilia Romagna Grand Prix
GIO,17.0,Alfa Romeo Racing,2021,Emilia Romagna Grand Prix
VET,0.0,Aston Martin,2021,Emilia Romagna Grand Prix
MSC,18.0,Haas F1 Team,2021,Emilia Romagna Grand Prix
MAZ,19.0,Haas F1 Team,2021,Emilia Romagna Grand Prix
BOT,8.0,Mercedes,2021,Emilia Romagna Grand Prix
RUS,12.0,Williams,2021,Emilia Romagna Grand Prix
LAT,14.0,Williams,2021,Emilia Romagna Grand Prix
HAM,2.0,Mercedes,2021,Portuguese Grand Prix
VER,3.0,Red Bull Racing,2021,Portuguese Grand Prix
BOT,1.0,Mercedes,2021,Portuguese Grand Prix
PER,4.0,Red Bull Racing,2021,Portuguese Grand Prix
NOR,7.0,McLaren,2021,Portuguese Grand Prix
LEC,8.0,Ferrari,2021,Portuguese Grand Prix
OCO,6.0,Alpine,2021,Portuguese Grand Prix
ALO,13.0,Alpine,2021,Portuguese Grand Prix
RIC,16.0,McLaren,2021,Portuguese Grand Prix
GAS,9.0,AlphaTauri,2021,Portuguese Grand Prix
SAI,5.0,Ferrari,2021,Portuguese Grand Prix
GIO,12.0,Alfa Romeo Racing,2021,Portuguese Grand Prix
VET,10.0,Aston Martin,2021,Portuguese Grand Prix
STR,17.0,Aston Martin,2021,Portuguese Grand Prix
TSU,14.0,AlphaTauri,2021,Portuguese Grand Prix
RUS,11.0,Williams,2021,Portuguese Grand Prix
MSC,19.0,Haas F1 Team,2021,Portuguese Grand Prix
LAT,18.0,Williams,2021,Portuguese Grand Prix
MAZ,20.0,Haas F1 Team,2021,Portuguese Grand Prix
RAI,15.0,Alfa Romeo Racing,2021,Portuguese Grand Prix
HAM,1.0,Mercedes,2021,Spanish Grand Prix
VER,2.0,Red Bull Racing,2021,Spanish Grand Prix
BOT,3.0,Mercedes,2021,Spanish Grand Prix
LEC,4.0,Ferrari,2021,Spanish Grand Prix
PER,8.0,Red Bull Racing,2021,Spanish Grand Prix
RIC,7.0,McLaren,2021,Spanish Grand Prix
SAI,6.0,Ferrari,2021,Spanish Grand Prix
NOR,9.0,McLaren,2021,Spanish Grand Prix
OCO,5.0,Alpine,2021,Spanish Grand Prix
GAS,12.0,AlphaTauri,2021,Spanish Grand Prix
STR,11.0,Aston Martin,2021,Spanish Grand Prix
RAI,17.0,Alfa Romeo Racing,2021,Spanish Grand Prix
VET,13.0,Aston Martin,2021,Spanish Grand Prix
RUS,15.0,Williams,2021,Spanish Grand Prix
