Year,Race,Driver,AvgLapTime,BestLapTime,Consistency,TotalLaps,FinalPosition,Driver_encoded,Race_encoded,GridPosition,TeamName,Team_encoded
2020,Bahrain Grand Prix,PER,100.39294,93.629,14.175979369269667,53.0,3,24,5,5,Racing Point,11
2020,Bahrain Grand Prix,RAI,104.54796226415095,93.573,17.160868972262552,56.0,15,26,5,17,Alfa Romeo Racing,1
2020,Bahrain Grand Prix,RIC,102.21514814814816,92.827,14.435990961282904,57.0,7,27,5,6,Renault,13
2020,Bahrain Grand Prix,RUS,104.40686792452831,95.042,17.529191431216123,56.0,12,28,5,14,Williams,14
2020,Bahrain Grand Prix,SAI,102.69513207547169,93.411,16.349596968730253,57.0,5,29,5,15,McLaren,8
2020,Bahrain Grand Prix,VER,101.8662962962963,92.014,16.541820352965917,57.0,2,33,5,3,Red Bull Racing,12
2020,Bahrain Grand Prix,VET,104.3148679245283,93.861,16.696902620451354,56.0,13,34,5,11,Ferrari,5
2020,Belgian Grand Prix,ALB,110.4757,108.736,1.4741982471143038,44.0,6,1,6,5,Red Bull Racing,12
2020,Belgian Grand Prix,BOT,109.27404999999999,107.983,1.1156567561019355,44.0,2,4,6,2,Mercedes,9
2020,Belgian Grand Prix,GAS,110.78865,107.839,2.888820472184587,44.0,8,9,6,12,AlphaTauri,2
2020,Belgian Grand Prix,GIO,113.72800000000001,111.793,3.2126230715725166,9.0,14,10,6,18,Alfa Romeo Racing,1
2020,Belgian Grand Prix,GRO,112.98319512195121,110.018,6.649271960972541,44.0,15,11,6,17,Haas F1 Team,6
2020,Belgian Grand Prix,HAM,109.02304999999998,107.758,1.0133818464264406,44.0,1,12,6,1,Mercedes,9
2020,Belgian Grand Prix,KVY,111.536825,109.832,2.1425071449182314,44.0,11,15,6,11,AlphaTauri,2
2020,Belgian Grand Prix,LAT,113.85107142857143,108.048,8.250807077722634,44.0,16,16,6,19,Williams,14
2020,Belgian Grand Prix,LEC,111.75562500000001,107.84,3.404385156187043,44.0,14,18,6,13,Ferrari,5
2020,Belgian Grand Prix,MAG,114.04873809523808,108.083,8.463632887917589,44.0,17,19,6,20,Haas F1 Team,6
2020,Belgian Grand Prix,NOR,110.8106,108.552,2.1881950271680637,44.0,7,22,6,10,McLaren,8
2020,Belgian Grand Prix,OCO,110.380775,108.54,1.4398519953765159,44.0,5,23,6,6,Renault,13
2020,Belgian Grand Prix,PER,110.98085,108.389,2.80127195056561,44.0,10,24,6,8,Racing Point,11
2020,Belgian Grand Prix,RAI,111.824,109.822,2.9228004484635037,44.0,12,26,6,16,Alfa Romeo Racing,1
2020,Belgian Grand Prix,RIC,109.78614999999999,107.483,1.4903850225309585,44.0,4,27,6,4,Renault,13
2020,Belgian Grand Prix,RUS,113.97533333333334,111.754,3.6537235117069264,9.0,16,28,6,15,Williams,14
2020,Belgian Grand Prix,STR,110.8028,109.136,1.536524786820185,44.0,9,31,6,9,Racing Point,11
2020,Belgian Grand Prix,VER,109.54572499999999,108.305,1.2242048175270406,44.0,3,33,6,3,Red Bull Racing,12
2020,Belgian Grand Prix,VET,111.7055,109.958,2.2478553881764274,44.0,13,34,6,14,Ferrari,5
2020,British Grand Prix,ALB,96.67074468085106,88.689,12.818874440971602,52.0,8,1,7,12,Red Bull Racing,12
2020,British Grand Prix,BOT,95.46760869565217,89.265,13.816739609744342,52.0,11,4,7,2,Mercedes,9
2020,British Grand Prix,GAS,97.78699999999999,89.603,15.345329841924109,52.0,7,9,7,11,AlphaTauri,2
2020,British Grand Prix,GIO,98.15508333333334,90.977,15.068348561666829,52.0,12,10,7,15,Alfa Romeo Racing,1
2020,British Grand Prix,GRO,97.19648936170212,89.782,13.26320575694169,52.0,16,11,7,17,Haas F1 Team,6
2020,British Grand Prix,HAM,94.48141304347827,89.238,12.97291316650211,52.0,1,12,7,1,Mercedes,9
2020,British Grand Prix,KVY,107.75630000000001,92.443,21.319613223769117,11.0,12,15,7,19,AlphaTauri,2
2020,British Grand Prix,LAT,97.13738297872341,90.501,12.857526385863737,52.0,15,16,7,18,Williams,14
2020,British Grand Prix,LEC,96.41602127659574,89.813,14.36598627115506,52.0,3,18,7,4,Ferrari,5
2020,British Grand Prix,NOR,97.61110416666666,90.058,15.548657728535002,52.0,5,22,7,5,McLaren,8
2020,British Grand Prix,OCO,97.67627083333333,89.491,15.360193893860965,52.0,6,23,7,9,Renault,13
2020,British Grand Prix,RAI,97.76235555555554,89.973,11.790342677870566,51.0,17,26,7,16,Alfa Romeo Racing,1
2020,British Grand Prix,RIC,97.54170833333335,89.482,15.687103053495651,52.0,4,27,7,8,Renault,13
2020,British Grand Prix,RUS,97.07153191489361,90.862,12.869731088794056,52.0,13,28,7,20,Williams,14
2020,British Grand Prix,SAI,98.25364583333334,89.948,15.930625257178805,52.0,14,29,7,7,McLaren,8
2020,British Grand Prix,STR,97.905125,90.475,15.351243607014865,52.0,9,31,7,6,Racing Point,11
2020,British Grand Prix,VER,94.77019565217391,87.097,12.835346837056502,52.0,2,33,7,3,Red Bull Racing,12
2020,British Grand Prix,VET,97.99839583333333,90.537,15.156798996447293,52.0,10,34,7,10,Ferrari,5
2020,Eifel Grand Prix,ALB,95.93630434782608,92.33,5.5418161974932385,23.0,9,1,11,5,Red Bull Racing,12
2020,Eifel Grand Prix,BOT,96.65427777777778,91.884,8.106618514635443,18.0,12,4,11,1,Mercedes,9
2020,Eifel Grand Prix,GAS,96.20678333333333,90.11,9.710177758661386,60.0,6,9,11,12,AlphaTauri,2
2020,Eifel Grand Prix,GIO,96.4946,90.909,9.055235953649756,60.0,10,10,11,14,Alfa Romeo Racing,1
2020,Eifel Grand Prix,GRO,96.47869999999999,91.562,8.832453981323843,60.0,9,11,11,16,Haas F1 Team,6
2020,Eifel Grand Prix,HAM,92.57838596491227,88.145,7.70186796858488,60.0,1,12,11,2,Mercedes,9
2020,Eifel Grand Prix,HUL,96.37061666666666,90.733,9.261528671074839,60.0,8,13,11,20,Racing Point,11
2020,Eifel Grand Prix,KVY,96.75381666666667,92.214,9.09878125474788,60.0,15,15,11,13,AlphaTauri,2
2020,Eifel Grand Prix,LAT,96.73483333333334,91.377,7.909435944162028,60.0,14,16,11,18,Williams,14
2020,Eifel Grand Prix,LEC,96.34091666666667,90.712,10.085550380840068,60.0,7,18,11,4,Ferrari,5
2020,Eifel Grand Prix,MAG,96.65376666666666,90.456,8.459076155364713,60.0,13,19,11,15,Haas F1 Team,6
2020,Eifel Grand Prix,NOR,94.6559761904762,92.328,4.257656606621427,42.0,6,22,11,8,McLaren,8
2020,Eifel Grand Prix,OCO,95.92459090909091,93.189,5.2629101279759185,22.0,10,23,11,7,Renault,13
2020,Eifel Grand Prix,PER,96.09518333333334,89.7,10.947457053986108,60.0,4,24,11,9,Racing Point,11
2020,Eifel Grand Prix,RAI,96.51861666666667,90.512,9.122491978698173,60.0,12,26,11,19,Alfa Romeo Racing,1
2020,Eifel Grand Prix,RIC,96.0709,89.584,11.684619426509915,60.0,3,27,11,6,Renault,13
2020,Eifel Grand Prix,RUS,98.12108333333333,94.526,6.187960075947091,12.0,18,28,11,17,Williams,14
2020,Eifel Grand Prix,SAI,96.19243333333334,90.129,10.642483328728304,60.0,5,29,11,10,McLaren,8
2020,Eifel Grand Prix,VER,92.85242105263157,88.139,7.51090952963794,60.0,2,33,11,3,Red Bull Racing,12
2020,Eifel Grand Prix,VET,96.50751666666666,90.408,7.80920258411302,60.0,11,34,11,11,Ferrari,5
2020,Emilia Romagna Grand Prix,ALB,85.23355555555555,76.177,13.471065249659114,63.0,15,1,12,6,Red Bull Racing,12
2020,Emilia Romagna Grand Prix,BOT,84.41607936507936,75.902,14.851188967610105,63.0,2,4,12,1,Mercedes,9
2020,Emilia Romagna Grand Prix,GAS,82.098375,80.403,2.3712917478816142,8.0,7,9,12,4,AlphaTauri,2
2020,Emilia Romagna Grand Prix,GIO,84.74330158730159,78.794,12.602212063421607,63.0,10,10,12,20,Alfa Romeo Racing,1
2020,Emilia Romagna Grand Prix,GRO,84.76769841269841,78.822,11.90350433985171,63.0,12,11,12,16,Haas F1 Team,6
2020,Emilia Romagna Grand Prix,HAM,84.32428571428572,75.484,16.749463497838907,63.0,1,12,12,2,Mercedes,9
2020,Emilia Romagna Grand Prix,KVY,84.56461904761905,77.666,13.160338463179349,63.0,4,15,12,8,AlphaTauri,2
2020,Emilia Romagna Grand Prix,LAT,84.755,78.719,12.622498792798265,63.0,11,16,12,19,Williams,14
2020,Emilia Romagna Grand Prix,LEC,84.62763492063492,78.173,13.278201125858914,63.0,5,18,12,7,Ferrari,5
2020,Emilia Romagna Grand Prix,MAG,82.02065957446808,79.273,6.081129483462311,47.0,18,19,12,17,Haas F1 Team,6
2020,Emilia Romagna Grand Prix,NOR,84.6596984126984,78.069,13.038312484360706,63.0,8,22,12,9,McLaren,8
2020,Emilia Romagna Grand Prix,OCO,82.16651851851852,79.606,4.951147569933584,27.0,16,23,12,12,Renault,13
2020,Emilia Romagna Grand Prix,PER,84.63622222222223,78.084,13.58436225062746,63.0,6,24,12,11,Racing Point,11
2020,Emilia Romagna Grand Prix,RAI,84.67704761904763,78.088,12.827078808355411,63.0,9,26,12,18,Alfa Romeo Racing,1
2020,Emilia Romagna Grand Prix,RIC,84.5515873015873,77.552,13.456982405877413,63.0,3,27,12,5,Renault,13
2020,Emilia Romagna Grand Prix,RUS,82.04213725490197,78.811,7.681354625375937,51.0,10,28,12,13,Williams,14
2020,Emilia Romagna Grand Prix,SAI,84.64539682539683,78.118,13.046324118977314,63.0,7,29,12,10,McLaren,8
2020,Emilia Romagna Grand Prix,STR,84.78719047619047,78.36,13.396348589962074,63.0,14,31,12,15,Racing Point,11
2020,Emilia Romagna Grand Prix,VER,79.67296,77.637,3.450321788956348,50.0,2,33,12,3,Red Bull Racing,12
2020,Emilia Romagna Grand Prix,VET,84.77592063492064,77.767,13.700487680631953,63.0,13,34,12,14,Ferrari,5
2020,Hungarian Grand Prix,ALB,83.5827,79.44,5.9705154108346745,70.0,5,1,14,13,Red Bull Racing,12
2020,Hungarian Grand Prix,BOT,82.59892857142857,77.665,6.354084803531989,70.0,3,4,14,2,Mercedes,9
2020,Hungarian Grand Prix,GAS,91.35153333333332,83.939,9.185455987333354,15.0,18,9,14,10,AlphaTauri,2
2020,Hungarian Grand Prix,GIO,84.73491304347826,80.096,6.989393684759984,69.0,17,10,14,19,Alfa Romeo Racing,1
2020,Hungarian Grand Prix,GRO,84.41879710144927,80.889,5.924827437496304,69.0,15,11,14,0,Haas F1 Team,6
2020,Hungarian Grand Prix,HAM,82.4639,76.627,5.826842504269808,70.0,1,12,14,1,Mercedes,9
2020,Hungarian Grand Prix,KVY,84.31626086956521,80.946,6.5557095785281225,69.0,12,15,14,17,AlphaTauri,2
2020,Hungarian Grand Prix,LAT,87.787921875,81.198,8.97745604773633,65.0,19,16,14,15,Williams,14
2020,Hungarian Grand Prix,LEC,84.24582608695653,80.821,5.740708249389061,69.0,11,18,14,6,Ferrari,5
2020,Hungarian Grand Prix,MAG,83.94776811594203,80.477,5.734365245514837,69.0,9,19,14,0,Haas F1 Team,6
2020,Hungarian Grand Prix,NOR,84.32697101449276,79.945,6.148920105980868,69.0,13,22,14,8,McLaren,8
2020,Hungarian Grand Prix,OCO,84.33966666666666,80.261,6.102131728933339,69.0,14,23,14,14,Renault,13
2020,Hungarian Grand Prix,PER,83.7550579710145,80.09,5.9495513742982,69.0,7,24,14,4,Racing Point,11
2020,Hungarian Grand Prix,RAI,84.43591304347827,80.232,6.5326235828096,69.0,16,26,14,20,Alfa Romeo Racing,1
2020,Hungarian Grand Prix,RIC,83.76882608695652,79.532,5.883148544175887,69.0,8,27,14,11,Renault,13
2020,Hungarian Grand Prix,RUS,84.75136231884058,79.984,6.4016668807497865,69.0,18,28,14,12,Williams,14
2020,Hungarian Grand Prix,SAI,83.97779710144927,79.457,6.046905019195183,69.0,10,29,14,9,McLaren,8
2020,Hungarian Grand Prix,STR,83.28645714285715,78.973,6.206914493298766,70.0,4,31,14,3,Racing Point,11
2020,Hungarian Grand Prix,VER,82.58821428571429,79.184,5.210357543971897,70.0,2,33,14,7,Red Bull Racing,12
2020,Hungarian Grand Prix,VET,83.73856521739131,80.363,6.0109488202736125,69.0,6,34,14,5,Ferrari,5
2020,Italian Grand Prix,ALB,90.32690196078431,84.888,11.589896060370693,53.0,15,1,15,9,Red Bull Racing,12
2020,Italian Grand Prix,BOT,89.86856862745098,83.961,12.987331926542739,53.0,5,4,15,2,Mercedes,9
2020,Italian Grand Prix,GAS,89.82058823529412,84.037,12.545208403492499,53.0,1,9,15,10,AlphaTauri,2
2020,Italian Grand Prix,GIO,90.88286274509804,84.856,12.333009146221546,53.0,16,10,15,18,Alfa Romeo Racing,1
2020,Italian Grand Prix,GRO,90.26266666666666,84.785,10.981258796088307,53.0,12,11,15,16,Haas F1 Team,6
2020,Italian Grand Prix,HAM,88.97278,82.746,13.528515516991114,53.0,7,12,15,1,Mercedes,9
2020,Italian Grand Prix,KVY,90.08250980392157,84.479,12.044699208153851,53.0,9,15,15,11,AlphaTauri,2
2020,Italian Grand Prix,LAT,90.33037254901961,84.999,10.401057265414476,53.0,11,16,15,20,Williams,14
2020,Italian Grand Prix,LEC,92.50773913043477,86.026,10.669887701621668,23.0,6,18,15,13,Ferrari,5
2020,Italian Grand Prix,MAG,89.16776470588236,85.787,9.269834940071837,17.0,18,19,15,15,Haas F1 Team,6
2020,Italian Grand Prix,NOR,89.87601960784313,84.232,13.395855561314768,53.0,4,22,15,6,McLaren,8
2020,Italian Grand Prix,OCO,90.01282352941176,84.49,12.309472311526408,53.0,8,23,15,12,Renault,13
2020,Italian Grand Prix,PER,90.08450980392158,84.336,12.816846077522424,53.0,10,24,15,4,Racing Point,11
2020,Italian Grand Prix,RAI,90.5279019607843,84.835,11.20236371174388,53.0,13,26,15,14,Alfa Romeo Racing,1
2020,Italian Grand Prix,RIC,89.84770588235294,83.898,12.972838189531414,53.0,6,27,15,7,Renault,13
2020,Italian Grand Prix,RUS,90.32382352941177,84.421,11.004326704902727,53.0,14,28,15,19,Williams,14
2020,Italian Grand Prix,SAI,89.7351568627451,83.882,13.692631046475404,53.0,2,29,15,3,McLaren,8
2020,Italian Grand Prix,STR,89.92294117647059,83.897,13.431006326276172,53.0,3,31,15,8,Racing Point,11
2020,Italian Grand Prix,VER,94.47139285714286,85.539,15.965478068352919,30.0,16,33,15,5,Red Bull Racing,12
2020,Italian Grand Prix,VET,98.14166666666667,87.107,21.212184495394784,6.0,20,34,15,17,Ferrari,5
2020,Portuguese Grand Prix,ALB,83.58536923076923,79.89,4.8523073846664335,65.0,12,1,21,6,Red Bull Racing,12
2020,Portuguese Grand Prix,BOT,82.15787878787879,79.345,3.8766566424617874,66.0,2,4,21,2,Mercedes,9
2020,Portuguese Grand Prix,GAS,83.29021538461538,80.551,3.9707401997782004,65.0,5,9,21,9,AlphaTauri,2
2020,Portuguese Grand Prix,GIO,84.11724615384615,81.893,3.9903381123610955,65.0,15,10,21,17,Alfa Romeo Racing,1
2020,Portuguese Grand Prix,GRO,84.13033846153846,81.664,4.075597568443666,65.0,16,11,21,18,Haas F1 Team,6
2020,Portuguese Grand Prix,HAM,81.77012121212123,78.75,3.9620331358655974,66.0,1,12,21,1,Mercedes,9
2020,Portuguese Grand Prix,KVY,84.815140625,80.449,6.570554164416404,64.0,19,15,21,13,AlphaTauri,2
2020,Portuguese Grand Prix,LAT,84.39184375,81.859,4.018078227444696,64.0,18,16,21,20,Williams,14
2020,Portuguese Grand Prix,LEC,82.75969696969698,80.408,3.7993878817502575,66.0,4,18,21,4,Ferrari,5
2020,Portuguese Grand Prix,MAG,84.16730769230769,81.46,4.193442320766577,65.0,17,19,21,19,Haas F1 Team,6
2020,Portuguese Grand Prix,NOR,83.80673846153846,79.36,5.499450808594787,65.0,13,22,21,8,McLaren,8
2020,Portuguese Grand Prix,OCO,83.36087692307693,80.859,3.966761440818615,65.0,8,23,21,11,Renault,13
2020,Portuguese Grand Prix,PER,83.3367076923077,80.802,5.059924448926705,65.0,7,24,21,5,Racing Point,11
